week,price,promotion,sales
1,10.0,1,108
2,10.3,1,115
3,10.6,0,114
4,10.9,0,106
5,11.2,0,113
6,11.5,0,120
7,11.8,0,112
8,12.1,1,127
9,12.4,1,134
10,12.7,0,133
11,13.0,0,125
12,13.3,0,132
13,13.6,0,139
14,13.9,0,131
15,14.2,1,146
16,14.5,1,153
17,14.8,0,152
18,15.1,0,144
19,15.4,0,151
20,15.7,0,158
21,16.0,0,150
22,16.3,1,165
23,16.6,1,172
24,16.9,0,171
25,17.2,0,163
26,17.5,0,170
27,17.8,0,177
28,18.1,0,169
29,18.4,1,184
30,18.7,1,191
31,19.0,0,190
32,19.3,0,182
33,19.6,0,189
34,19.9,0,196
35,20.2,0,188
36,20.5,1,203
37,20.8,1,210
38,21.1,0,209
39,21.4,0,201
40,21.7,0,208
41,22.0,0,215
42,22.3,0,207
43,22.6,1,222
44,22.9,1,229
45,23.2,0,228
46,23.5,0,220
47,23.8,0,227
48,24.1,0,234
49,24.4,0,226
50,24.7,1,241
51,25.0,1,248
52,25.3,0,247
53,25.6,0,239
54,25.9,0,246
55,26.2,0,253
56,26.5,0,245
57,26.8,1,260
58,27.1,1,267
59,27.4,0,266
60,27.7,0,258
